               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.1756,              5.5111,              5.4132,           0.0044016,           0.0062016,          0.00055709,          0.00013342,                   0,                   0,                   0,            0.070169,           0.0033145,           0.0033145
                   1,              4.2442,              5.1525,              5.3141,           0.0081251,           0.0093023,          0.00044429,           0.0001467,                   0,                   0,                   0,            0.040126,            0.006604,            0.006604
                   2,              4.2362,               4.953,              5.1978,           0.0010606,             0.28682,            0.029254,           0.0036752,                   0,                   0,                   0,            0.010038,           0.0098494,           0.0098494
                   3,              4.0966,              4.4509,               5.021,            0.022124,             0.08062,            0.012958,           0.0027111,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                   4,              3.9864,              4.1362,              4.6825,             0.16905,             0.15039,            0.064426,            0.010218,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                   5,              3.7045,              3.7921,              4.2886,             0.16899,             0.36744,             0.11719,            0.028587,                   0,                   0,                   0,            0.009736,            0.009736,            0.009736
                   6,              3.4173,              3.4739,              3.8821,              0.2106,             0.35814,              0.2139,            0.073755,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   7,              3.2084,              3.3575,              3.6322,             0.45884,             0.44496,             0.40212,             0.14488,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   8,              2.9991,              3.1523,              3.3364,             0.26169,                 0.4,             0.26019,            0.090366,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                   9,               2.753,              2.9816,              3.1073,             0.52602,             0.45426,             0.47314,              0.1702,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  10,              2.5508,              2.6888,              2.8284,             0.61622,             0.57006,             0.57014,             0.25359,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  11,              2.4002,              2.5538,              2.6844,             0.56686,             0.59654,             0.52607,              0.2547,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  12,              2.2703,               2.365,              2.5141,             0.71974,             0.68217,             0.72832,             0.35339,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  13,              2.1798,              2.2349,              2.3631,             0.73475,             0.64961,             0.67513,             0.34012,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  14,              2.0871,              2.1138,              2.2625,             0.61943,             0.67882,             0.63513,             0.30721,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  15,              1.9784,              2.0345,              2.1667,             0.64284,             0.70233,             0.69422,             0.34347,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  16,               1.918,              1.9501,              2.0985,             0.61452,             0.62791,             0.67746,             0.32919,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  17,              1.9128,              1.9286,              2.0925,             0.73818,             0.64961,             0.69481,             0.35613,                   0,                   0,                   0,            0.008944,            0.008944,            0.008944
                  18,               1.831,              1.8097,              2.0023,             0.82912,             0.75976,             0.83228,             0.40094,                   0,                   0,                   0,            0.008878,            0.008878,            0.008878
                  19,              1.8306,               1.824,              1.9849,             0.86191,             0.72713,             0.81351,             0.41086,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  20,              1.8195,              1.8063,              1.9742,             0.77111,             0.71033,             0.78961,             0.44276,                   0,                   0,                   0,            0.008746,            0.008746,            0.008746
                  21,              1.7339,              1.7514,              1.9101,             0.76816,             0.67287,              0.7792,             0.40135,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                  22,              1.7513,               1.707,              1.9208,             0.88254,             0.76434,             0.84935,             0.41909,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  23,              1.6731,              1.6818,              1.8725,             0.81925,             0.75189,             0.83655,             0.42077,                   0,                   0,                   0,            0.008548,            0.008548,            0.008548
                  24,              1.6644,              1.6453,              1.8505,             0.93376,              0.8186,             0.88682,             0.52997,                   0,                   0,                   0,            0.008482,            0.008482,            0.008482
                  25,              1.6489,              1.5992,              1.8335,             0.77263,             0.74286,             0.77848,             0.41692,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  26,              1.6369,              1.5822,              1.8118,             0.85383,             0.82016,             0.85145,             0.48068,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                  27,              1.6466,              1.5651,              1.8365,                0.85,             0.80775,             0.84372,             0.46252,                   0,                   0,                   0,            0.008284,            0.008284,            0.008284
                  28,              1.6145,              1.5323,              1.7914,             0.89519,             0.80776,             0.88118,              0.5012,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  29,              1.5808,              1.4993,              1.7835,             0.85362,             0.82272,             0.87693,             0.51003,                   0,                   0,                   0,            0.008152,            0.008152,            0.008152
                  30,              1.6047,               1.485,               1.766,             0.86899,             0.80465,             0.87288,             0.45957,                   0,                   0,                   0,            0.008086,            0.008086,            0.008086
